opening_eco,opening_name,avg_rating_delta,w_win_rate,b_win_rate,n_games_played,avg_white_rating,avg_black_rating,cluster
A00,Anderssen Opening,145.47368421052633,84.21052631578948,15.789473684210526,19,1662.1052631578948,1512.3157894736842,2
A00,Polish Opening,109.7906976744186,60.46511627906977,39.53488372093023,43,1603.5116279069769,1585.5348837209303,3
A00,Saragossa Opening,90.0,61.90476190476191,38.095238095238095,42,1581.071428571429,1591.0238095238096,3
A01,Nimzo-Larsen Attack,205.5833333333333,70.83333333333333,29.166666666666668,24,1523.375,1469.7916666666667,2
A01,Nimzo-Larsen Attack: Classical Variation,144.95833333333334,50.0,50.0,24,1686.375,1811.25,3
A01,Nimzo-Larsen Attack: Modern Variation #2,19.846153846153847,61.53846153846154,38.46153846153846,13,1591.2307692307693,1635.2307692307693,1
A04,Reti Opening #2,148.5,50.0,50.0,12,1660.0,1753.6666666666667,3
A04,Zukertort Opening: Kingside Fianchetto,81.13333333333334,53.333333333333336,46.66666666666666,15,1572.3333333333333,1618.8,3
A04,Zukertort Opening: Pirc Invitation,136.73684210526315,52.63157894736842,47.36842105263158,19,1638.8947368421052,1462.4736842105262,3
A04,Zukertort Opening: Queen's Gambit Invitation,100.86842105263158,73.6842105263158,26.31578947368421,38,1732.3157894736842,1607.078947368421,0
A04,Zukertort Opening: Queenside Fianchetto Variation,91.36363636363636,72.72727272727273,27.27272727272728,11,1744.0,1614.8181818181818,0
A04,Zukertort Opening: Ross Gambit,190.0,90.9090909090909,9.090909090909092,11,1509.1818181818182,1360.090909090909,2
A04,Zukertort Opening: Sicilian Invitation,126.26923076923076,53.84615384615385,46.15384615384615,26,1741.8461538461538,1765.6538461538462,3
A05,King's Indian Attack: Symmetrical Defense,139.54545454545453,63.63636363636363,36.36363636363637,11,1956.8181818181813,1857.636363636364,0
A06,Reti Opening,105.07142857142856,71.42857142857143,28.571428571428573,14,1461.0,1535.357142857143,2
A06,Zukertort Opening: Reversed Mexican Defense,103.36363636363636,54.54545454545455,45.45454545454545,11,1234.1818181818182,1416.090909090909,1
A06,Zukertort Opening: Tennison Gambit,132.21212121212122,51.51515151515152,48.48484848484848,33,1611.030303030303,1629.8484848484848,3
A07,King's Indian Attack,13.529411764705882,58.8235294117647,41.1764705882353,17,1674.8235294117646,1643.8823529411766,3
A08,King's Indian Attack,90.375,68.75,31.25,16,1923.8125,1849.3125,0
A10,English Opening,74.42105263157895,52.63157894736842,47.36842105263158,19,1662.842105263158,1595.3684210526317,3
A10,English Opening: Anglo-Lithuanian Variation,-2.727272727272727,72.72727272727273,27.27272727272728,11,1537.7272727272727,1514.6363636363635,2
A10,English Opening: Anglo-Scandinavian Defense,20.88888888888889,61.11111111111112,38.888888888888886,36,1544.5555555555557,1476.0555555555557,1
A10,English Opening: Great Snake Variation,110.42857142857144,57.142857142857146,42.85714285714285,14,1725.7857142857142,1751.7857142857142,3
A11,English Opening: Caro-Kann Defensive System,104.17647058823528,52.94117647058823,47.05882352941177,17,1769.7058823529412,1674.7058823529412,3
A13,English Opening: Agincourt Defense,41.90909090909091,77.27272727272727,22.727272727272727,22,1561.2727272727273,1490.1818181818182,2
A15,English Opening: Anglo-Indian Defense,92.11111111111111,59.25925925925926,40.74074074074074,27,1666.5925925925926,1732.2592592592594,3
A20,English Opening: King's English Variation,92.86301369863014,56.16438356164384,43.83561643835616,73,1594.4794520547946,1582.986301369863,4
A21,English Opening: King's English Variation |  Reversed Sicilian,61.16216216216216,62.16216216216216,37.83783783783784,37,1557.2972972972973,1506.4054054054054,1
A22,English Opening: King's English Variation |  Two Knights Variation,20.85,60.0,40.0,20,1549.9,1546.45,1
A25,English Opening: King's English Variation |  Reversed Closed Sicilian,13.058823529411764,76.47058823529412,23.529411764705884,17,1570.5882352941176,1504.5882352941176,2
A27,English Opening: King's English Variation |  Three Knights System,97.0,60.0,40.0,10,1534.9,1545.5,1
A30,English Opening: Symmetrical Variation,60.75862068965517,58.62068965517241,41.37931034482759,29,1606.7586206896551,1576.4137931034484,3
A34,English Opening: Symmetrical Variation |  Normal Variation,123.23076923076924,76.92307692307692,23.07692307692308,13,1632.5384615384614,1561.1538461538462,2
A40,English Defense,102.26666666666668,53.333333333333336,46.66666666666666,15,1708.0,1711.2,3
