avg_rating_delta,w_win_rate,b_win_rate,n_games_played,avg_white_rating,avg_black_rating,cluster
7.6923076923076925,38.46153846153846,61.53846153846154,13,1574.5384615384614,1595.4615384615386,1
14.26923076923077,34.61538461538461,65.38461538461539,26,1690.8076923076924,1704.076923076923,1
63.77272727272727,43.18181818181818,56.81818181818182,44,1600.0227272727273,1627.6136363636365,1
29.727272727272727,36.36363636363637,63.63636363636363,11,1678.8181818181818,1706.3636363636365,1
85.8225806451613,40.32258064516129,59.67741935483871,62,1641.1290322580646,1637.5645161290322,1
52.642857142857146,50.0,50.0,14,1615.2142857142858,1601.857142857143,1
-57.05882352941177,47.05882352941177,52.94117647058823,17,1633.0,1750.529411764706,1
17.38095238095238,47.61904761904762,52.38095238095238,21,1691.857142857143,1708.3809523809523,1
34.07692307692308,46.15384615384615,53.84615384615385,13,1669.3076923076924,1545.8461538461538,1
45.04347826086956,39.130434782608695,60.869565217391305,23,1538.391304347826,1537.0,1
75.42857142857143,35.714285714285715,64.28571428571429,14,1640.7857142857142,1659.357142857143,1
9.058823529411764,44.11764705882353,55.88235294117647,34,1640.3235294117646,1682.6764705882354,1
33.31818181818182,45.45454545454545,54.54545454545455,22,1678.6818181818182,1725.4545454545455,1
62.03448275862069,36.206896551724135,63.793103448275865,58,1669.9310344827586,1717.0689655172414,1
20.529411764705884,35.294117647058826,64.70588235294117,17,1722.235294117647,1748.0588235294117,1
51.642857142857146,42.85714285714285,57.142857142857146,42,1538.2619047619048,1651.857142857143,1
14.533333333333331,50.0,50.0,30,1674.1666666666667,1685.9,1
-30.285714285714285,42.85714285714285,57.142857142857146,14,1718.7142857142858,1814.4285714285716,1
15.40625,43.75,56.25,32,1846.65625,1814.9375,1
29.72,40.0,60.0,25,1617.24,1645.12,1
52.5,41.66666666666666,58.333333333333336,12,1647.25,1771.5833333333333,1
25.72222222222222,47.22222222222222,52.77777777777778,36,1649.138888888889,1633.0833333333333,1
52.3,40.0,60.0,10,1680.8,1711.1,1
37.391304347826086,43.47826086956522,56.52173913043478,23,1543.2173913043478,1606.8695652173913,1
64.57142857142857,42.85714285714285,57.142857142857146,21,1582.095238095238,1616.4761904761904,1
-12.2,50.0,50.0,10,1619.1,1499.9,1
-60.333333333333336,41.66666666666666,58.333333333333336,12,1635.0,1563.3333333333333,1
34.23076923076923,38.46153846153846,61.53846153846154,13,1578.6923076923076,1598.1538461538462,1
-22.2,50.0,50.0,10,1578.6,1584.8,1
13.666666666666666,33.333333333333336,66.66666666666667,18,1656.7777777777778,1633.7777777777778,1
60.57407407407408,37.03703703703704,62.96296296296296,54,1642.111111111111,1616.7592592592594,1
29.622222222222224,46.66666666666666,53.333333333333336,45,1600.088888888889,1605.7111111111112,1
28.153846153846157,46.15384615384615,53.84615384615385,13,1695.0,1718.2307692307693,1
55.68421052631579,36.8421052631579,63.1578947368421,19,1549.157894736842,1611.0526315789473,1
31.0,50.0,50.0,20,1608.15,1647.45,1
74.625,37.5,62.5,16,1662.1875,1596.8125,1
21.058823529411764,47.05882352941177,52.94117647058823,17,1645.2941176470588,1586.8235294117646,1
-32.416666666666664,50.0,50.0,12,1606.8333333333333,1572.75,1
-20.46153846153846,46.15384615384615,53.84615384615385,13,1588.076923076923,1513.0,1
36.4,40.0,60.0,10,1666.6,1650.6,1
55.4,40.0,60.0,25,1720.8,1715.32,1
33.15384615384615,38.46153846153846,61.53846153846154,13,1591.5384615384614,1582.6923076923076,1
27.928571428571427,42.85714285714285,57.142857142857146,14,1711.2857142857142,1759.071428571429,1
-108.58333333333331,41.66666666666666,58.333333333333336,12,1764.75,1747.8333333333333,1
