avg_rating_delta,w_win_rate,b_win_rate,n_games_played,avg_white_rating,avg_black_rating,cluster
92.86301369863014,56.16438356164384,43.83561643835616,73,1594.4794520547946,1582.986301369863,4
87.81564245810056,53.63128491620112,46.36871508379888,179,1593.4078212290503,1560.1508379888269,4
90.29702970297028,63.86138613861386,36.13861386138614,202,1538.1138613861383,1484.638613861386,4
131.88732394366198,52.11267605633803,47.88732394366197,71,1494.943661971831,1522.43661971831,4
84.19753086419753,65.4320987654321,34.5679012345679,81,1529.111111111111,1484.2716049382716,4
93.008547008547,51.282051282051285,48.71794871794872,117,1536.982905982906,1557.068376068376,4
100.45977011494251,51.72413793103448,48.27586206896552,87,1493.574712643678,1538.9310344827586,4
73.79850746268657,51.492537313432834,48.507462686567166,134,1661.7164179104475,1690.455223880597,4
62.657407407407405,53.7037037037037,46.2962962962963,216,1568.412037037037,1567.9027777777778,4
93.1904761904762,62.85714285714285,37.142857142857146,105,1539.8190476190475,1440.7428571428572,4
57.177570093457945,50.467289719626166,49.53271028037384,107,1391.056074766355,1390.1214953271028,4
66.29347826086956,59.78260869565217,40.21739130434783,92,1487.0217391304348,1482.2282608695652,4
103.48543689320388,66.01941747572816,33.980582524271846,103,1537.5436893203882,1463.8058252427184,4
46.9875,50.625,49.375,160,1477.0125,1456.2875,4
90.8108108108108,66.21621621621621,33.78378378378378,148,1547.9256756756756,1491.358108108108,4
81.3495145631068,57.28155339805825,42.71844660194175,103,1492.6699029126214,1407.611650485437,4
70.73170731707317,50.0,50.0,82,1589.1341463414635,1593.6707317073171,4
74.83333333333333,61.90476190476191,38.095238095238095,84,1506.440476190476,1431.7261904761904,4
57.97202797202797,58.04195804195804,41.95804195804196,143,1581.4055944055945,1568.5104895104896,4
51.59550561797753,51.68539325842696,48.31460674157304,178,1644.3202247191011,1619.2640449438202,4
76.02439024390245,54.8780487804878,45.1219512195122,82,1586.5487804878048,1540.1097560975609,4
72.29113924050633,59.49367088607595,40.50632911392405,79,1650.2151898734178,1607.5696202531649,4
69.16504854368932,72.81553398058253,27.184466019417474,103,1628.3203883495146,1565.776699029126,4
78.52222222222223,55.55555555555556,44.44444444444444,90,1630.611111111111,1569.6222222222225,4
126.26373626373626,58.24175824175824,41.75824175824176,91,1600.5824175824175,1604.8021978021975,4
